name,rating,year,country,state_or_province
Dockyard Brewing Company Trunk Island Pale Ale (IPA),3,2013,Bermuda,Ireland Island
Dockyard Brewing Company Whale of a Wheat,4,2013,Bermuda,Ireland Island
Dog Bite High Gravity Lager,1,2011,United States,New York
Dogfishhead 60 Minute IPA,5,2012,United States,Delaware
Dogfishhead 61 Minute IPA,5,2013,United States,Delaware
Dogfishhead 75 Minute IPA,5,2013,United States,Delaware
Dogfishhead 90 Minute IPA,5,2012,United States,Delaware
Dogfishhead Burton Baton,5,2013,United States,Delaware
Dogfishhead Chicory Stout,4,2012,United States,Delaware
Dogfishhead Festina Pêche,3,2013,United States,Delaware
Dogfishhead Immort Ale,4,2012,United States,Delaware
Dogfishhead Indian Brown Ale,5,2012,United States,Delaware
Dogfishhead Midas Touch,4,2012,United States,Delaware
Dogfishhead Palo Santo Marron,5,2013,United States,Delaware
Dogfishhead Punkin Ale,5,2013,United States,Delaware
Dogfishhead Raison D'Etre,3,2012,United States,Delaware
Dogfishhead/ Sierra Nevada Rhizing Bines,4,2013,United States,Delaware
Dos Equis,4,2010,Mexico,Monterrey
Dos Equis Amber,4,2010,Mexico,Monterrey
Dragon Stout,3,2012,Jamaica,-
Elysian Loser Pale Ale,5,2013,United States,Washington
Elysian Night Owl Pumpkin Ale,5,2013,United States,Washington
Evil Twin Bikini Beer,3,2013,Denmark,-
Firestone Walker Union Jack IPA,5,2013,,
Firestone Walker's Reserve Porter,4,2013,United States,California
Fisherman's Pumpkin Stout,5,2012,United States,Massachusetts
Flying Dog Double Dog Double Pale Ale,5,2012,United States,Maryland
Flying Dog Gonzo Imperial Porter,5,2012,United States,Maryland
Flying Dog Kujo Imperial Coffee Stout,4,2013,United States,Maryland
Flying Dog Raging Bitch,5,2012,United States,Maryland
Flying Dog Snake Dog IPA,5,2012,United States,Maryland
Flying Dog The Fear,5,2013,United States,Maryland
Flying Dog Underdog Atlantic Lager,3,2013,United States,Maryland
Flying Dog Woody Creek White,3,2013,United States,Maryland
Fosters Lager,2,2010,Australia,-
Fosters Premium Ale,2,2010,Australia,-
Founder's All Day IPA,5,2013,United States,Michigan
Founder's Breakfast Stout,5,2013,United States,Michigan
Founder's Centennial IPA,5,2013,United States,Michigan
Founder's Devil Dancer,5,2013,United States,Michigan
Founders Dirty Bastard Scotch Ale,4,2013,United States,Michigan
Founder's Double Trouble,5,2013,United States,Michigan
Founder's Dry Hopped Pale Ale,4,2013,United States,Michigan
Founders Harvest Ale,5,2013,United States,Michigan
Founders Oatmeal Stout,4,2013,United States,Michigan
Founder's Porter,5,2013,United States,Michigan
Founder's Red Rye PA,5,2013,United States,Michigan
Founder's Rubaeus,4,2013,United States,Michigan
Franziskaner Hefe-Weisse,5,2012,Germany,-
Fuller's ESB,5,2013,United Kingdom,England
Fuller's London Porter,5,2013,United Kingdom,England
Fuller's London Pride,4,2013,United Kingdom,England
Gasthaus-Brauerei Braustelle Freigesit Abraxxxas,5,2013,Germany ,Koln
Geary's Pale Ale,2,2013,,
Genesee Cream Ale,2,2012,,
Genesee Light,1,2011,,
Goose Island 312 Urban Wheat Ale,4,2012,,
Goose Island Honkers Ale,4,2012,,
Goose Island IPA,5,2011,,
Goose Island Matilda,5,2013,United States ,Illinois
Goose Island Nut Brown,5,2013,United States,Illinois
Great Divide Claymore Scotch Ale,5,2014,United States,Colorado
Great Divide Fresh Hop Pale Ale,5,2013,United States,Colorado
Great Divide Hercules Double IPA,5,2013,United States,Colorado
Great Divide Hoss Rye Lager,5,2013,United States,Colorado
Great Divide Oak Aged Yeti Imperial Stout,5,2013,United States,Colorado 
Great Divide Yeti Imperial Stout,5,2013,United States,Colorado
Great Lakes Brewing Company Eliot Ness,5,2013,,
Great Lakes Brewing Company Oktoberfest,5,2013,United States,Ohio
Green Flash East Village Pilsner,4,2012,,
Green Flash Saison,3,2013,United States,California
Guinness,5,2009,,
Guinness Black Lager,2,2011,,
Guinness Extra Stout,3,2009,,
Guinness Red Harvest Stout,2,2013,Ireland,
Harp,4,2009,,
Harpoon Celtic Ale,4,2012,United States,Massachusetts
Harpoon Grateful Harvest Cranberry Ale,4,2013,United States,Massachusetts
Harpoon IPA,4,2009,United States,Massachusetts
Harpoon Oktoberfest,4,2010,United States,Massachusetts
Harpoon Rue IPA,5,2012,United States,Massachusetts
Harpoon UFO Pumpkin (2013),4,2013,United States,Massachusetts
Harpoon Winter Warmer,1,2012,United States,Massachusetts
Harviestoun Brewery Old Engine Oil Black Ale,5,2012,,
Heartland Brewery Farmer Jon's Oatmeal Stout,5,2012,,
Heartland Brewery Red Rooster Ale,4,2012,,
Heartland Brewery Summertime Apricot,3,2012,,
Heavy Seas Winter Storm,5,2013,United States,Maryland
Heavy Seas Yule Tide (2013 Edition),4,2013,United States,Maryland
Heineken,3,2007,,
Heineken Dark,3,2010,,
Heineken Light,3,2010,,
Henry Weinhards Redwood Flats Amber,2,2012,,
Hobgoblin Imported Dark English Ale,3,2012,,
Hoegaarden,2,2010,,
Hofbr_u Oktoberfestbier,4,2012,Germany,
Ipswich IPA,5,2009,,
Ithaca Apricot Wheat,3,2012,United States,New York
Ithaca Flower Power IPA,5,2012,United States,New York
Ithaca Nut Brown,4,2012,United States,New York
Keystone Light,1,2008,,
Kona Fire Rock Pale Ale,4,2013,United States,Hawaii
Labatt Blue,3,2013,,
Labatt Blue Light,3,2013,,
Lagunitas A Little Sumpin' Wild,5,2013,United States,California
Lagunitas Brown Shugga,5,2013,United States,California
Lagunitas Hairy Eyeball Ale,5,2014,United States,California
Lagunitas IPA,5,2012,,
Lagunitas Maximus,5,2013,United States,California
Lagunitas Sucks,5,2013,,
Landshark,3,2012,,
Left Hand Brewing Company 400 Pound Monkey,5,2013,United States,Colorado
Left Hand Brewing Company Good Juju (Ginger Ale),2,2013,,
Left Hand Brewing Company Milk Stout Nitro,5,2012,,
Left Hand Brewing Company Oktoberfest,5,2013,United States,Colorado
Left Hand Brewing Company Sawtooth,5,2013,United States,Colorado
Left Hand Brewing Company Stranger American Pale Ale,4,2013,United States,Colorado
Leinenkugel Berry Weiss,1,2012,United States,Wisconsin
Leinenkugel Honey Weiss,2,2012,United States,Wisconsin
Leinenkugel Orange Shandy,3,2013,United States,Wisconsin
Leinenkugel Summer Shandy,4,2012,United States,Wisconsin
Leinenkugel Sunset Wheat,4,2013,United States,Wisconsin
Long Trail Blackbeary Wheat,4,2012,,
Long Trail IPA,4,2012,,
Lucky U IPA,4,2012,,
Magic Hat #9,4,2011,United States,Vermont
Magic Hat Blind Faith IPA,5,2013,United States,Vermont
Magic Hat Encore IPA,5,2013,United States,Vermont
Magic Hat Heart of Darkness,5,2013,United States,Vermont
Magic Hat Hex,4,2013,United States,Vermont
Magic Hat Hi.P.A,4,2013,United States,Vermont
Magic Hat Pistil,2,2013,United States,Vermont
Magic Hat S_ance,4,2013,United States,Vermont
Magic Hat Ticket to Rye IPA,4,2013,United States,Vermont
Maine Beer Company Mean Old Tom,5,2013,United States,Maine
Maine Beer Company MO,5,2013,United States,Maine
Maine Beer Company Peeper Ale,5,2013,United States,Maine
Maine Beer Company Zoe,5,2013,United States,Maine
Mcsorley's Dark,3,2012,,
Mcsorley's Light,3,2012,,
Mendocino Brewing Company Red Tail Ale,3,2012,,
Michelob Ultra,2,2010,,
MGD64,1,2010,,
Midnight Sun Brewing Company Monk's Mistress,5,2013,United States,Alaska
Miller High Life,2,2008,,
Miller Lite,2,2008,,
Mission St. Hefeweizen,4,2013,United States,California
Molson,3,2013,,
Monty PythonÕs Holy Grail Ale,3,2012,,
Moo Thunder,4,2013,,
Moretti,3,2012,,
Moretti La Rossa,3,2012,,
Mythos,3,2008,,
Narragansett,2,2009,United States,Rhode Island
Narragansett Fest,4,2013,United States,Rhode Island
National Bohemian Beer-Pabst Brewing Company,1,2012,,
Natural Light,2,2008,,
Negro Modelo,3,2010,,
New Holland Dragon's Milk (Bourbon Barrel Stout),5,2013,United States,Michigan
New Holland Mad Hatter India Pale Ale,5,2013,United States,Michigan 
New Holland The Poet,5,2013,United States,Michigan
North Coast Blue Star Great American Wheat Beer,4,2013,United States,California
North Coast Class of '88 Barleywine Style Ale,5,2013,United States,California
North Coast Old Rasputin Russian Imperial Stout,5,2013,United States,California
North Coast Old Stock Ale 2013,5,2013,United States,California
North Coast Pranqster,5,2013,United States,California
North Coast Ruedrich's Red Seal Ale,5,2013,United States,California
North Coast Scrimshaw Pilsner,5,2013,United States,California
Old Milwaukee,2,2009,,
Ommegang Abbey Ale,5,2013,United States,New York
Ommegang Game of Thrones Take the Black Stout,4,2013,United States,New York
Ommegang Hennepin (Farmhouse Saison),4,2013,United States,New York
Ommegang Scythe & Sickle,5,2013,United States,New York
Ommegang Three Philosophers Ale,4,2012,United States,New York
Oskar Blues Ten FIDY,5,2013,United States,Colorado 
Pabst Blue Ribbon,2,2008,,
Peak Organic Nut Brown Ale,4,2012,,
PeteÕs Wicked Strawberry Blonde,2,2010,,
Pilsner Urquell,2,2010,,
Post Road Pumpkin Ale,2,2012,,
Pratt Street Ale House Atomic Punk,5,2013,United States,Maryland
Radeberger Pilsner,3,2013,Germany,Saxony
Redhook ESB,2,2013,,
Redhook Long Hammer IPA,3,2013,,
Red Stripe,2,2010,,
Redd's Apple Ale,3,2013,United States,Wisconsin
River Horse Hop Hazard,5,2012,United States,New Jersey
River Horse Hipp-O-Lantern Pumpkin,4,2012,United States,New Jersey
Rockaway ESB Pale Ale,5,2012,,
Rockaway Stout,5,2012,,
Rogue Chipotle Ale,5,2013,United States,Oregon
Rogue Dead Guy Ale,5,2012,United States,Oregon
Rogue Hazelnut Brown Nectar,5,2013,United States,Oregon
Rogue Mocha Porter,5,2013,United States,Oregon
Rogue Shakespeare Oatmeal Stout,5,2013,United States,Oregon
Rolling Rock,3,2009,,
Sam Adams Alpine Spring,4,2010,United States,Massachusetts
Sam Adams Belgian  Session,2,2013,United States,Massachusetts
Sam Adams Black Lager (Fall Collection 2010),4,2010,United States,Massachusetts
Sam Adams Blackberry Witbier,2,2012,United States,Massachusetts
Sam Adams Blueberry Hill Lager (Summer Collection 2013),3,2013,United States,Massachusetts
Sam Adams Bonfire Rauchbier (Fall Collection 2011),5,2011,United States,Massachusetts
Sam Adams Boston Ale,5,2011,United States,Massachusetts
Sam Adams Boston Lager,5,2010,United States,Massachusetts
Sam Adams Brick Red,4,2010,United States,Massachusetts
Sam Adams Cherry Chocolate Bock (Winter Collection 2013),5,2013,United States,Massachusetts
Sam Adams Cherry Wheat,4,2010,United States,Massachusetts
Sam Adams Chocolate Bock (Winter Collection),4,2011,United States,Massachusetts
Sam Adams Coastal Wheat,4,2009,United States,Massachusetts
Sam Adams Double Agent IPL,4,2013,United States,Massachusetts
Sam Adams Double Bock,4,2010,United States,Massachusetts
Sam Adams Dunkelweizen (Fall Collection 2010),4,2010,United States,Massachusetts
Sam Adams East-West Kolsch,3,2012,United States,Massachusetts
Sam Adams Griffin's Bow Barleywine,4,2013,United States,Massachusetts
Sam Adams Grumpy Monk Belgian IPA,4,2013,United States,Massachusetts
Sam Adams Harvest Pumpkin Ale (Fall Collection 2010),4,2010,United States,Massachusetts
Sam Adams Hazel Brown,4,2013,United States,Massachusetts
Sam Adams Holiday Porter (Winter Collection),5,2011,United States,Massachusetts
Sam Adams Irish Red (Fall Collection 2010),4,2010,United States,Massachusetts
Sam Adams Juniper IPA (Winter Collection 2013),5,2013,United States,Massachusetts
Sam Adams Little White Rye,4,2013,United States,Massachusetts
Sam Adams Light,4,2009,United States,Massachusetts
Sam Adams Maple Pecan Porter,5,2013,United States,Massachusetts
Sam Adams New Albion Ale,4,2013,United States,Massachusetts
Sam Adams Noble Pils,4,2013,United States,Massachusetts
Sam Adams Norse Legend Sahti,5,2013,United States,Massachusetts
Sam Adams Octoberfest (Fall Collection 2010),5,2010,United States,Massachusetts
Sam Adams Old Fezziwig Ale (Winter Collection),5,2011,United States,Massachusetts
Sam Adams Porch Rocker (Summer 2013),5,2013,United States,Massachusetts
Sam Adams Ruby Mild (Harvest Collection 2013),4,2013,United States,Massachusetts
Sam Adams Summer Ale,5,2010,United States,Massachusetts
Sam Adams The Vixen Chocolate Chili Bock,4,2013,United States,Massachusetts
Sam Adams White Ale (Winter Collection),4,2011,United States,Massachusetts
Sam Adams White Christmas (Winter Collection 2012),4,2012,United States,Massachusetts
Sam Adams Whitewater IPA (2013 IPA Collection),4,2013,United States,Massachusetts
Sam Adams Winter Lager (Winter Collection),5,2011,United States,Massachusetts
Samuel Smith's Imperial Stout,5,2012,,
Samuel Smith's India Ale,4,2012,,
Samuel Smith's Nut Brown Ale,5,2012,,
Samuel SmithÕs Oatmeal Stout,5,2011,,
Samuel Smith's Pale Ale,5,2012,,
Samuel Smith's Old Brewery Tadcaster- The Famous Taddy Porter,5,2012,,
Samuel Smith's Organic Chocolate Stout,5,2012,,
Samuel Smith's Winter Ale,4,2013,,
Saranac Black & Tan,4,2012,,
Schlafly Pumpkin Ale,5,2013,United States,Missouri
Schneider Weisse Tap 7 Unser Original,4,2012,Germany,
Session Black Lager,5,2012,United States,Oregon
Shipyard Applehead,4,2011,,
Shipyard Melonhead,1,2012,,
Shipyard Pumpkinhead,5,2010,,
Shock Top,4,2009,,
Shock Top Chocolate Wheat,4,2013,United States,Missouri
Shock Top Honey Crisp Apple Wheat,4,2013,,
Shock Top Lemon Shandy,4,2012,,
Shock Top Raspberry,4,2013,,
Sierra Nevada Celebration Ale (2012),5,2012,,
Sierra Nevada Flipside Red IPA,5,2013,United States,California
Sierra Nevada Kellerweis Hefeweizen,5,2013,,
Sierra Nevada Porter,5,2012,,
Sierra Nevada Ruthless Rye,4,2013,,
Sierra Nevada Torpedo Extra IPA,5,2012,,
Sierra Nevada Summerfest Lager,4,2013,,
Sixpoint Brewery 3Beans,5,2013,,
Sixpoint RESIN,4,2013,United States,New York
Smithwicks,5,2010,,
Smuttynose Baltic Porter (Big Beer Series),5,2013,United States,New Hampshire
Smuttynose IPA,5,2012,United States,New Hampshire
Smuttynose Old Brown Dog Ale,4,2013,United States,New Hampshire
Smuttynose Pumpkin Ale,5,2012,United States,New Hampshire
Smuttynose Rhye IPA,5,2013,United States,New Hampshire
Smuttynose Robust Porter,5,2013,United States,New Hampshire
Smuttynose Shoals Pale Ale,4,2013,United States,New Hampshire
Smuttynose Summer Weizen Ale,4,2013,United States,New Hampshire
Smuttynose Star Island Single,4,2013,United States,New Hampshire
Snapper head Farmhouse Ale IPA,3,2013,,
Sol,2,2012,,
Southern Tier 2XIPA,5,2013,,
Southern Tier 2XMAS,4,2013,United States,New York
Southern Tier Beljoe,4,2013,,
Southern Tier Choklat,5,2013,United States,New York
Southern Tier Harvest Ale,5,2013,United States,New York
Southern Tier IPA,4,2013,,
Southern Tier Old Man (Winter Ale),4,2013,United States,New York
Southern Tier's Pumking Imperial Pumpkin Ale,5,2010,,
Southern Tier Unearthy IPA (Imperial India Pale Ale),4,2013,United States,New York
Southern Tier Warlock,4,2013,United States,New York
Spaten Oktoberfest,4,2012,,
Speakeasy Big Daddy IPA,5,2013,,
Speakeast Butchertown Black Ale,4,2013,United States,California
Speakeasy Scarlett Red Rye Ale,4,2013,,
Spider Bite First Bite Pale Ale,4,2013,United States,New York
St.-Ambroise Apricot Wheat Ale,3,2013,,
St. Pauli Girl,2,2010,,
Stella Artois,3,2010,,
Stone Arrogant Bastard,5,2013,United States,California
Stone Enjoy by 11-12-13,5,2013,United States,California
Stone/Farking/Wheaton W00tstout,4,2013,United States,California
Stone IPA,5,2013,United States,California
Stone Levitation Ale,4,2013,United States,California
Stone Oaked Arrogant Bastard,5,2013,United States,California
Stone Russian Imperial Stout,5,2013,United States,California
Stone Smoked Porter - Vanilla Bean,5,2014,United States,California
Stone Sublimely Sef Righteous,5,2013,United States,California
Tecate,2,2010,,
Tecate Light,2,2010,,
Thule,3,2010,,
Tiger,3,2012,,
Trader Joe's Ale 2012,3,2012,,
Trader Joe's 2013 Vintage Ale,5,2013,United States,California
Troegs Double IPA,5,2013,,
Troegs Mad Elf,5,2013,,
Troegs Sunshine Pils,4,2013,,
Troegs Trogenator Double Bock,5,2013,,
Tuborg,3,2010,,
Two Brothers Heavier Handed IPA,5,2013,United States,Illinois
Tyskie,3,2009,,
Uinta Punk'n Harvest Pumpkin Ale,4,2013,United States,Utah
Unibroue La Fin Du Monde,4,2013,Canada,Quebec
Unibroue Maudite,5,2014,Canada,Quebec
Unibroue Trois Pistoles,5,2013,Canada,Quebec
Victory Cheers,4,2013,United States,Pennsylvania
Victory Dirtwolf,5,2013,United States,Pennsylvania
Victory Festbier,4,2013,United States,Pennsylvania
Victory Golden Monkey,5,2011,United States,Pennsylvania
Victory Headwaters Pale Ale,4,2013,United States,Pennsylvania
Victory Hopdevil IPA,5,2013,United States,Pennsylvania
Victory Hop Wollop,5,2013,United States,Pennsylvania
Victory Prima Pils,5,2013,United States,Pennsylvania
Victory Storm King Imperial Stout,5,2013,United States,Pennsylvania
Victory Summer Love Ale,5,2013,United States,Pennsylvania
Wachusett Blueberry,2,2012,United States,Massachusetts
Weihenstephaner Hefeweissbier,5,2012,Germany,-
Weihenstephaner Hefeweissbier Dunkel,4,2013,Germany,-
Weihenstephaner Vitus,5,2013,Germany,
Weyerbacher Imperial Pumpkin Ale,5,2013,United States,Pennsylvania
Weyerbacher Insanity,4,2013,United States,Pennsylvania
Weyerbacher Merry Monks' Ale,5,2013,United States,Pennsylvania
Whale of a Wheat-The Frog & Onion Brewing Company,3,2013,Bermuda,-
Whitehawk Original IPA,4,2010,,
Wolavers IPA,5,2013,,
Wolavers Oatmeal Stout,5,2012,,
Wolavers Otter Creek Oktoberfest,4,2013,United States,Vermont
Yarpivo,1,2012,,
Yuengling Black and Tan,4,2013,United States,Pennsylvania
Yuengling Light,4,2013,United States,Pennsylvania
Yuengling Lord Chesterfield Ale,4,2013,United States,Pennsylvania
Yuengling Premium,4,2011,United States,Pennsylvania
Yuengling Traditional Lager,4,2011,United States,Pennsylvania
